Designator,Mid X,Mid Y,Rotation,Layer
C1,111.100001,-96.225,0.0,bottom
C2,131.225,-99.025,270.0,bottom
C500,131.225,-99.025,270.0,top
C501,94.75,-96.2,90.0,top
C502,92.725,-85.1,90.0,top
C503,160.1,-98.575001,90.0,top
C504,171.625,-85.05,90.0,top
C505,141.525,-98.975,270.0,top
C506,171.6,-77.95,270.0,top
C507,150.2,-99.325,0.0,top
R1,106.3,-96.8,90.0,bottom
R2,100.575,-99.475,0.0,bottom
U1,86.6,-79.45,270.0,top
U2,86.6,-90.76,270.0,top
U3,107.825,-84.42,270.0,top
U4,125.35,-84.42,270.0,top
U5,143.25,-84.42,270.0,top
U500,107.825,-84.41,270.0,bottom
U501,125.35,-84.41,270.0,bottom
U502,143.25,-84.405,270.0,bottom
U503,161.175,-84.4,270.0,bottom
U504,90.0,-84.41,270.0,bottom
U6,161.175,-84.415,270.0,top
U7,94.825,-78.75,270.0,top
